id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination,isAccessible,locationCategoryId
63,87H52H53+33W,41.00773144039880,-76.44728125677950,0,0,2,1,1,4
64,87H52H53+439,41.00779418829080,-76.44727577681330,0,0,3,1,1,4
65,87H52H53+433,41.00775719913020,-76.44733668139990,0,0,6,1,1,4
66,87H52H53+43C,41.007802507460700,-76.44735763142330,0,0,7,1,1,4
67,87H52H53+43V,41.00785521072070,-76.44732928906780,0,0,12,1,1,3
68,87H52H53+532,41.0078998985986,-76.44737043862340,0,0,15,1,1,3
69,87H52H53+525,41.00788187222090,-76.44739787219790,0,0,16,1,1,4
70,87H52H53+522,41.00787648051350,-76.44748372527790,0,0,18,1,1,4
71,87H52H53+528,41.00790827767310,-76.44743255049080,0,0,19,1,1,4
72,87H52H53+52P,41.00797226184270,-76.44742357201220,0,0,22,1,1,4
73,87H52H53+526,41.00792460537770,-76.44749482453000,0,0,24,1,1,4
74,87H52H53+526,41.007918240707900,-76.44748996095660,0,0,25,1,1,4
75,87H52H52+5X8,41.00792199466080,-76.44754509587410,0,0,26,1,1,4
76,87H52H53+52X,41.0079939110595,-76.44739851989970,0,0,30,1,1,4
77,87H52H53+53J,41.007963128434500,-76.44735920287020,0,0,33,1,1,4
78,87H52H53+634,41.00801004029040,-76.4472925651525,0,0,35,1,1,4
79,87H52H53+646,41.008040581298500,-76.44724337686610,0,0,36,1,1,4
80,87H52H53+53M,41.00795939467000,-76.44732264193950,0,0,38,1,1,4
81,87H52H53+53G,41.00794628162580,-76.4473119528074,0,0,39,1,1,4
82,87H52H53+52C,41.0079427904994,-76.4474999188511,0,0,23,1,1,4
0,87H52H53+444,41.00777284571110,-76.44716135864850,0,0,p,0,1,5
1,87H52H53+443,41.00776745293420,-76.44719390177710,0,0,p,0,1,5
7,87H52H53+533,41.00789075266480,-76.4473282009631,0,0,el,0,1,2
8,87H52H53+447,41.00777918556730,-76.44720428193230,0,0,p,0,1,5
9,87H52H53+442,41.00776008036470,-76.44723514252050,0,0,p,0,1,5
10,87H52H53+449,41.007792531692500,-76.44715122335680,0,0,p,0,1,5
11,87H52H53+44F,41.00780921757300,-76.4471934038686,0,0,p,0,1,5
12,87H52H53+44G,41.0078201475884,-76.44717540889530,0,0,p,0,1,5
13,87H52H53+44F,41.00781811602320,-76.4472013375697,0,0,p,0,1,5
14,87H52H53+44C,41.007803311036600,-76.44722518986520,0,0,p,0,1,5
15,87H52H53+436,41.00777676680180,-76.4473535879345,0,0,p,0,1,5
16,87H52H53+43Q,41.00783764472590,-76.44725532475090,0,0,p,0,1,5
17,87H52H53+44R,41.00785250157380,-76.44723125358790,0,0,p,0,1,5
18,87H52H53+43F,41.007817905025100,-76.44733288880390,0,0,p,0,1,5
19,87H52H53+43X,41.00785597886940,-76.44727136081280,0,0,p,0,1,5
20,87H52H53+44R,41.00787089169510,-76.44724729260860,0,0,p,0,1,5
21,87H52H53+439,41.00779842537630,-76.44726883343970,0,0,p,0,1,5
22,87H52H53+43J,41.00783285097190,-76.4473460782144,0,0,p,0,1,5
23,87H52H53+43M,41.007847437568000,-76.44732250131430,0,0,p,0,1,5
24,87H52H53+43W,41.0078709361596,-76.44728445139020,0,0,p,0,1,5
25,87H52H53+535,41.007885816966500,-76.44726035587440,0,0,p,0,1,5
26,87H52H53+538,41.007901352106000,-76.44731105206320,0,0,p,0,1,5
27,87H52H53+538,41.007916167405600,-76.44728694237700,0,0,p,0,1,5
28,87H52H53+53H,41.007937896202600,-76.4472517523084,0,0,p,0,1,5
29,87H52H53+53W,41.00798572512900,-76.44729350290660,0,0,p,0,1,5
30,87H52H53+635,41.00800630298550,-76.44726030787910,0,0,p,0,1,5
31,87H52H53+42J,41.00784709778980,-76.44747224421550,0,0,p,0,1,5
32,87H52H53+525,41.007889240310100,-76.44740419568730,0,0,p,0,1,5
33,87H52H53+529,41.00790651854970,-76.44737629123380,0,0,p,0,1,5
34,87H52H53+536,41.007920508356500,-76.44735360892820,0,0,p,0,1,5
35,87H52H53+53F,41.00793086756270,-76.44733685665520,0,0,p,0,1,5
36,87H52H53+524,41.00789841171910,-76.44741223358890,0,0,p,0,1,5
37,87H52H53+42V,41.00787398490560,-76.44745165603710,0,0,p,0,1,5
38,87H52H53+529,41.00791574239340,-76.44738420206860,0,0,p,0,1,5
39,87H52H53+53C,41.00792971932700,-76.44736168288080,0,0,p,0,1,5
40,87H52H53+53C,41.007939981705300,-76.44734494217640,0,0,p,0,1,5
41,87H52H53+53C,41.00794357019290,-76.44734800747800,0,0,p,0,1,5
42,87H52H53+53C,41.00793872028960,-76.44736951309780,0,0,p,0,1,5
43,87H52H53+53C,41.00794896168250,-76.44735283518790,0,0,p,0,1,5
44,87H52H53+52H,41.007930236027500,-76.44739697122190,0,0,p,0,1,5
45,87H52H53+523,41.00788853100050,-76.44746437665860,0,0,p,0,1,5
46,87H52H53+526,41.00790048680990,-76.44747489633970,0,0,p,0,1,5
47,87H52H53+52G,41.007942146563900,-76.44740753761970,0,0,p,0,1,5
48,87H52H53+52Q,41.00795034929770,-76.4473796645861,0,0,p,0,1,5
49,87H52H53+52Q,41.00795619462140,-76.44738489368850,0,0,p,0,1,5
50,87H52H53+52Q,41.00796945952020,-76.44739644412690,0,0,p,0,1,5
51,87H52H53+635,41.00802161168630,-76.44727377504780,0,0,p,0,1,5
52,87H52H53+633,41.00801632218560,-76.447320434846,0,0,p,0,1,5
53,87H52H53+638,41.00803684524680,-76.4472872489927,0,0,p,0,1,5
54,87H52H53+52W,41.00798212099630,-76.44740750535000,0,0,p,0,1,5
55,87H52H53+52W,41.00798614150090,-76.44741096214810,0,0,p,0,1,5
56,87H52H52+5X9,41.0079110300695,-76.44750183324460,0,0,p,0,1,5
57,87H52H52+5X9,41.007916971689600,-76.44750701044490,0,0,p,0,1,5
58,87H52H52+5XH,41.00792658555050,-76.44751545893360,0,0,p,0,1,5
59,87H52H53+52C,41.00793843936110,-76.447496341484,0,0,p,0,1,5
60,87H52H52+5XH,41.00793551517360,-76.44752327607970,0,0,p,0,1,5
61,87H52H53+52W,41.00798942802580,-76.44741392111550,0,0,p,0,1,5
62,87H52H53+43G,41.007818463196100,-76.44728631831520,0,0,p,0,1,5
2,87H52H53+448,41.00778349786920,-76.4471657988685,0.5,0,s,0,0,1
3,87H52H53+42M,41.007838765838400,-76.4474648290563,0.5,0,s,0,0,1
4,87H52H53+53G,41.00793927280690,-76.44730721122040,0.5,0,s,0,0,1
5,87H52H53+53W,41.007978756330300,-76.44730494124850,0,0,S,0,0,1
6,87H52H53+633,41.008009390412000,-76.44733189928060,0,0,S,0,0,1
211,87H52H53+446,41.00777907654930,-76.44722736262290,1,0,105,1,1,4
212,87H52H53+34W,41.007742308820000,-76.44717446939220,1,0,109,1,1,4
213,87H52H53+34V,41.007727487076800,-76.4471972238801,1,0,110,1,1,4
214,87H52H53+34M,41.00770784125700,-76.44721425093730,1,0,111,1,1,4
215,87H52H53+34C,41.00769396000120,-76.44723629168480,1,0,112,1,1,4
216,87H52H53+33H,41.00768166961540,-76.44725725939390,1,0,113,1,1,4
217,87H52H53+339,41.00766828124280,-76.44727823190420,1,0,114,1,1,4
218,87H52H53+338,41.007670622120200,-76.4473012631558,1,0,115,1,1,4
219,87H52H53+33G,41.00767561349030,-76.44730544166900,1,0,116,1,1,4
220,87H52H53+33P,41.00770531839650,-76.4472929480554,1,0,118,1,1,4
221,87H52H53+33X,41.00773119354690,-76.44726393220510,1,0,119,1,1,4
222,87H52H53+434,41.00776844588380,-76.44729613304680,1,0,123,1,1,4
223,87H52H53+433,41.00775542625300,-76.44732004536450,1,0,124,1,1,4
224,87H52H53+33F,41.00769728923560,-76.44732314962210,1,0,126,1,1,4
225,87H52H53+33M,41.00771166494940,-76.44733306314380,1,0,127,1,1,4
226,87H52H53+33J,41.00772323540900,-76.44734446055200,1,0,128,1,1,4
227,87H52H53+33V,41.007737831591500,-76.44734040147590,1,0,129,1,1,4
228,87H52H53+33R,41.00774927389850,-76.44735167331220,1,0,130,1,1,4
229,87H52H53+432,41.00776282847810,-76.44736233363880,1,0,131,1,1,4
230,87H52H53+43G,41.007814511144200,-76.44728619478710,1,0,134,1,1,4
231,87H52H53+43P,41.007831483832400,-76.4473104155633,1,0,139,1,1,3
