,,Top Left + 0,,Top Right + 1,,Bottom Left + 2,
,Label,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude
Ben Franklin,1,41.006674,-76.448270,41.007064,-76.448570,41.006764,-76.448069
Hartline,4,41.007292,-76.448117,41.007633,-76.447336,41.006672,-76.447640
Hartline Basement,7,41.007262,-76.448025,41.007490,-76.447506,41.006694,-76.447588
Student Services,10,41.007807,-76.448380,41.008093,-76.447748,41.007448,-76.448098
Bakeless,13,41.008415,-76.448675,41.008679,-76.448106,41.007995,-76.448338
Navy,16,41.007673,-76.449043,41.008044,-76.449326,41.007757,-76.448845
Sutliff,19,41.007749,-76.446363,41.007440,-76.447036,41.008018,-76.446582
Centennial,22,41.008130,-76.446546,41.008381,-76.445977,41.007551,-76.446109
Andruss,25,41.009192,-76.445625,41.009515,-76.444912,41.008828,-76.445337
